index,endName,endLat,endLong,count,per_count
137,W 13 St & 5 Ave,40.735445,-73.99431,16731,0.4
138,Perry St & Bleecker St,40.73535398,-74.00483091,16722,0.4
139,Washington Pl & 6 Ave,40.73224119,-74.00026394,16626,0.4
140,W 45 St & 8 Ave,40.75929124,-73.98859651,16592,0.4
141,5 Ave & E 93 St,40.7857851,-73.957481,16516,0.4
142,4 Ave & E 12 St,40.732647,-73.99011,16436,0.4
143,W 13 St & 7 Ave,40.73781509,-73.99994661,16395,0.4
144,Front St & Washington St,40.70255088,-73.98940236,16369,0.4
145,Cooper Square & Astor Pl,40.72951496,-73.9907527,16274,0.4
146,Greenwich Ave & Charles St,40.735238,-74.000271,16154,0.4
147,Greenwich St & W Houston St,40.728846,-74.008591,16086,0.4
148,West Thames St,40.70834698,-74.01713445,16031,0.4
149,Columbus Ave & W 95 St,40.7919557,-73.968087,16003,0.4
150,Mercer St & Bleecker St,40.72706363,-73.99662137,15875,0.4
151,1 Ave & E 30 St,40.74144387,-73.97536082,15771,0.4
152,Mercer St & Spring St,40.72362738,-73.99949601,15696,0.4
153,Queens Plaza North & Crescent St,40.75110165,-73.94073717,15686,0.4
154,North Moore St & Greenwich St,40.72019521,-74.01030064,15685,0.4
155,E 74 St & 1 Ave,40.7689738,-73.95482273,15655,0.4
156,11 Ave & W 59 St,40.77149671,-73.99046034,15649,0.4
157,Central Park W & W 91 St,40.78866499,-73.96680057,15585,0.4
158,West Drive & Prospect Park West,40.66106337,-73.97945255,15563,0.4
159,E 2 St & 2 Ave,40.72502876,-73.99069656,15529,0.4
160,E 6 St & Avenue D,40.72228087,-73.97668709,15335,0.4
161,Lenox Ave & W 111 St,40.7987859,-73.9523,15277,0.4
162,Riverside Dr & W 72 St,40.78057799,-73.98562431,15261,0.4
163,Lexington Ave & E 26 St,40.741459,-73.983293,15225,0.4
164,N 6 St & Bedford Ave,40.71745169,-73.95850939,15133,0.4
165,Lexington Ave & E 36 St,40.74757396,-73.97880077,15091,0.4
166,Forsyth St & Canal St,40.7158155,-73.99422366,15051,0.4
167,Broadway & Battery Pl,40.70463334,-74.01361706,15050,0.4
168,Barrow St & Hudson St,40.73172428,-74.00674436,15046,0.4
169,Lexington Ave & E 24 St,40.74025878,-73.98409214,15015,0.4
170,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,14917,0.4
171,6 Ave & Broome St,40.72430832,-74.00473036,14838,0.4
172,W 53 St & 10 Ave,40.76669671,-73.99061728,14836,0.4
173,Bank St & Hudson St,40.73652889,-74.00618026,14772,0.4
174,Lispenard St & Broadway,40.71939226,-74.00247214,14763,0.4
